patentID,grantdate,appldate,patent_title,country,firmID
8587134,20131119,20120816,Semiconductor packages,KR,104604
9146835,20150929,20120105,Methods and systems with delayed execution of multiple processors,US,6066
8898111,20141125,20130311,Enforcing temporal uniqueness of index keys utilizing key-valued locking in the presence of pseudo-deleted keys,US,6066
9800780,20171024,20140328,"Image processing device, image processing method, and program to capture an image using fisheye lens",JP,9818
9880833,20180130,20150630,Initialization status of a register employed as a pointer,US,6066
8779656,20140715,20120801,"Organic electroluminescence element, and light emitting apparatus, image forming apparatus, light emitting element array, display apparatus, and imaging apparatus each using the element",JP,2721
9607900,20170328,20150910,Method and structure to fabricate closely packed hybrid nanowires at scaled pitch,US,6066
9563529,20170207,20150519,Selective monitoring of archive and backup storage,US,6066
8926723,20150106,20100421,Dust collecting apparatus having a dust removing unit,KR,104604
10276645,20190430,20160901,Image display device and method for repairing short circuit failure,JP,9818
9703667,20170711,20150222,Hardware-based edge profiling,US,6066
10250462,20190402,20161213,Managing change in an information technology environment,US,6066
9603102,20170321,20070514,"Method of transmitting pilot tones in a multi-sector cell, including null pilot tones, for generating channel quality indicators",US,24800
8527808,20130903,20120123,DMI redundancy in multiple processor computer systems,US,6008
8938792,20150120,20121228,Device authentication using a physically unclonable functions based key generation system,US,6008
9035419,20150519,20110823,Semiconductor devices including an air-gap and methods of manufacturing the same,KR,104604
9214667,20151215,20101130,"Lithium-ion secondary battery, anode for lithium-ion secondary battery, power tool, electric vehicle and energy storage system",JP,9818
9165941,20151020,20140321,Semiconductor memory devices and methods for fabricating the same,KR,104604
9516752,20161206,20130318,Underfill device and method,US,6008
9939285,20180410,20100121,Navigation apparatus,JP,9818
10025221,20180717,20170425,Image forming apparatus having photosensitive member scanned by light that changes in scanning speed in accordance with image height,JP,2721
10126855,20181113,20171030,Sensor device and information processing device,JP,9818
9201936,20151201,20121113,Rapid provisioning of information for business analytics,US,6066
9813994,20171107,20120215,Managing transmit power for better frequency re-use in TV white space,US,24800
8949935,20150203,20121231,Secure account creation,US,1690
8804182,20140812,20100513,"Printing control apparatus, printing control method, and computer-readable storage medium storing program",JP,2721
10236449,20190319,20170407,"Organic photoelectric device, and image sensor and electronic device including the same",KR,104604
9007858,20150414,20130212,"SRAM global precharge, discharge, and sense",US,6066
9048999,20150602,20120419,Unequalized clock data recovery for serial I/O receiver,US,6008
8437670,20130507,20110119,Image forming apparatus,JP,2721
10103152,20181016,20170627,Semiconductor device and method for fabricating the same,KR,104604
9001344,20150407,20140114,"Image forming apparatus, method of control thereof and computer readable medium",KR,104604
9344752,20160517,20110119,Content reproduction system and content reproduction method,JP,9818
9317022,20160419,20120719,Controlling power generators and chillers,US,6066
9690680,20170627,20160923,Testing hybrid instruction architecture,US,6066
8832383,20140909,20130520,Delayed replacement of TLB entries,US,6066
9253600,20160202,20140825,Altitude estimation using a probability density function,US,1690
8462384,20130611,20040929,Methods and apparatuses for aesthetically enhanced image conversion,US,1690
10012782,20180703,20150807,Backlight apparatus and display apparatus having the same,KR,104604
8407574,20130326,20060731,User interface for accessing presentations,US,1690
9820090,20171114,20160915,Enhanced fallback mechanism for SLP connection during emergency SUPL sessions,US,24800
9015522,20150421,20121204,Implementing DRAM failure scenarios mitigation by using buffer techniques delaying usage of RAS features in computer systems,US,6066
9707146,20170718,20141202,Wearable robot and method for controlling the same,KR,104604
9706455,20170711,20150806,Method and apparatus for adjusting mobility parameter,KR,104604
10038804,20180731,20170118,"Image forming apparatus, control method of image forming apparatus and, program",JP,2721
10074712,20180911,20171026,Display device,JP,9818
9665586,20170530,20160714,Preserving high value entries in an event log,US,6066
